mode,level_urbanization,periods,total_number_of_trips,urbanization_level_code,travel_method_code
Train,Extremely urbanised,2020,0.0,1,3
Train,Extremely urbanised,2021,0.0,1,3
Train,Extremely urbanised,2022,0.0,1,3
Train,Hardly urbanised,2018,0.0,4,3
Train,Hardly urbanised,2019,0.0,4,3
Train,Hardly urbanised,2020,0.0,4,3
Train,Hardly urbanised,2021,0.0,4,3
Train,Hardly urbanised,2022,0.0,4,3
Train,Moderately urbanised,2018,0.0,3,3
Train,Moderately urbanised,2019,0.0,3,3
Train,Moderately urbanised,2020,0.0,3,3
Train,Moderately urbanised,2021,0.0,3,3
Train,Moderately urbanised,2022,0.0,3,3
Train,Strongly urbanised,2018,0.0,2,3
Train,Strongly urbanised,2019,0.0,2,3
Train,Strongly urbanised,2020,0.0,2,3
Train,Strongly urbanised,2021,0.0,2,3
Train,Strongly urbanised,2022,0.0,2,3
Train,Unknown,2018,0.0,5,3
Train,Unknown,2019,0.0,5,3
Train,Unknown,2020,0.0,5,3
Train,Unknown,2021,0.0,5,3
Train,Unknown,2022,0.0,5,3
Walking,Extremely urbanised,2018,97.0,1,6
Walking,Extremely urbanised,2019,102.0,1,6
Walking,Extremely urbanised,2020,110.0,1,6
Walking,Extremely urbanised,2021,138.0,1,6
Walking,Extremely urbanised,2022,129.0,1,6
Walking,Hardly urbanised,2018,239.0,4,6
Walking,Hardly urbanised,2019,140.0,4,6
Walking,Hardly urbanised,2020,150.0,4,6
Walking,Hardly urbanised,2021,168.0,4,6
Walking,Hardly urbanised,2022,287.0,4,6
Walking,Moderately urbanised,2018,237.0,3,6
Walking,Moderately urbanised,2019,223.0,3,6
Walking,Moderately urbanised,2020,278.0,3,6
Walking,Moderately urbanised,2021,349.0,3,6
Walking,Moderately urbanised,2022,314.0,3,6
Walking,Strongly urbanised,2018,163.0,2,6
Walking,Strongly urbanised,2019,154.0,2,6
Walking,Strongly urbanised,2020,192.0,2,6
Walking,Strongly urbanised,2021,214.0,2,6
Walking,Strongly urbanised,2022,193.0,2,6
Walking,Unknown,2018,134.0,5,6
Walking,Unknown,2019,90.0,5,6
Walking,Unknown,2020,119.0,5,6
Walking,Unknown,2021,131.0,5,6
Walking,Unknown,2022,119.0,5,6
Other,Extremely urbanised,2018,12.0,1,7
Other,Extremely urbanised,2019,0.0,1,7
Other,Extremely urbanised,2020,0.0,1,7
Other,Extremely urbanised,2021,12.0,1,7
Other,Extremely urbanised,2022,10.0,1,7
Other,Hardly urbanised,2018,0.0,4,7
Other,Hardly urbanised,2019,0.0,4,7
Other,Hardly urbanised,2020,0.0,4,7
Other,Hardly urbanised,2021,0.0,4,7
Other,Hardly urbanised,2022,0.0,4,7
Other,Moderately urbanised,2018,0.0,3,7
Other,Moderately urbanised,2019,0.0,3,7
Other,Moderately urbanised,2020,0.0,3,7
Other,Moderately urbanised,2021,0.0,3,7
Other,Moderately urbanised,2022,0.0,3,7
Other,Strongly urbanised,2018,5.0,2,7
Other,Strongly urbanised,2019,0.0,2,7
Other,Strongly urbanised,2020,0.0,2,7
Other,Strongly urbanised,2021,0.0,2,7
Other,Strongly urbanised,2022,0.0,2,7
Other,Unknown,2018,10.0,5,7
Other,Unknown,2019,8.0,5,7
Other,Unknown,2020,10.0,5,7
Other,Unknown,2021,12.0,5,7
Other,Unknown,2022,10.0,5,7
Unknown,Extremely urbanised,2018,434.0,1,8
Unknown,Extremely urbanised,2019,412.0,1,8
Unknown,Extremely urbanised,2020,405.0,1,8
Unknown,Extremely urbanised,2021,432.0,1,8
Unknown,Extremely urbanised,2022,221.0,1,8
Unknown,Hardly urbanised,2018,1700.0,4,8
Unknown,Hardly urbanised,2019,1667.0,4,8
Unknown,Hardly urbanised,2020,1627.0,4,8
Unknown,Hardly urbanised,2021,1627.0,4,8
Unknown,Hardly urbanised,2022,1682.0,4,8
Unknown,Moderately urbanised,2018,1701.0,3,8
Unknown,Moderately urbanised,2019,1579.0,3,8
Unknown,Moderately urbanised,2020,1644.0,3,8
Unknown,Moderately urbanised,2021,1635.0,3,8
Unknown,Moderately urbanised,2022,1716.0,3,8
Unknown,Strongly urbanised,2018,823.0,2,8
Unknown,Strongly urbanised,2019,820.0,2,8
Unknown,Strongly urbanised,2020,868.0,2,8
Unknown,Strongly urbanised,2021,867.0,2,8
Unknown,Strongly urbanised,2022,879.0,2,8
Unknown,Unknown,2018,413.0,5,8
Unknown,Unknown,2019,398.0,5,8
Unknown,Unknown,2020,406.0,5,8
Unknown,Unknown,2021,417.0,5,8
Unknown,Unknown,2022,638.0,5,8
